event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),quantity_lift,quantity_lift_pct,revenue_before_promo,discounted_price,revenue_after_promo,promo_effectiveness,is_successful_promo
1e9a06,STCHE-4,CAMP_DIW_01,P13,350,BOGOF,84,338,254,302.38,29400,175.0,59150.0,29750.0,Successful
02ebe9,STBLR-8,CAMP_DIW_01,P11,190,50% OFF,66,88,22,33.33,12540,95.0,8360.0,-4180.0,Unsuccessful
260ff2,STMYS-2,CAMP_SAN_01,P01,172,33% OFF,204,291,87,42.65,35088,115.24000000000001,33534.840000000004,-1553.1599999999962,Unsuccessful
7fc923,STTRV-0,CAMP_SAN_01,P08,1190,BOGOF,19,74,55,289.47,22610,595.0,44030.0,21420.0,Successful
b08c12,STMDU-3,CAMP_DIW_01,P03,156,25% OFF,227,202,-25,-11.01,35412,117.0,23634.0,-11778.0,Unsuccessful
ca7298,STCBE-2,CAMP_SAN_01,P15,3000,500 Cashback,85,228,143,168.24,255000,2500.0,570000.0,315000.0,Successful
bf33ae,STMYS-0,CAMP_DIW_01,P14,1020,BOGOF,59,182,123,208.47,60180,510.0,92820.0,32640.0,Successful
35fb5b,STCBE-2,CAMP_DIW_01,P13,350,BOGOF,50,190,140,280.0,17500,175.0,33250.0,15750.0,Successful
def6ff,STMDU-0,CAMP_DIW_01,P11,190,50% OFF,70,89,19,27.14,13300,95.0,8455.0,-4845.0,Unsuccessful
2f3e5d,STCHE-2,CAMP_SAN_01,P01,172,33% OFF,333,402,69,20.72,57276,115.24000000000001,46326.48,-10949.519999999997,Unsuccessful
ca3893,STMYS-1,CAMP_SAN_01,P09,90,25% OFF,52,39,-13,-25.0,4680,67.5,2632.5,-2047.5,Unsuccessful
922e6a,STBLR-8,CAMP_SAN_01,P05,55,25% OFF,34,24,-10,-29.41,1870,41.25,990.0,-880.0,Unsuccessful
4f0587,STMDU-0,CAMP_SAN_01,P08,1190,BOGOF,33,136,103,312.12,39270,595.0,80920.0,41650.0,Successful
fa5b45,STVJD-1,CAMP_SAN_01,P08,1190,BOGOF,27,109,82,303.7,32130,595.0,64855.0,32725.0,Successful
df45ee,STHYD-3,CAMP_DIW_01,P01,172,33% OFF,309,534,225,72.82,53148,115.24000000000001,61538.16,8390.160000000003,Successful
f3ac85,STBLR-5,CAMP_SAN_01,P03,200,BOGOF,348,1350,1002,287.93,69600,100.0,135000.0,65400.0,Successful
292ca5,STHYD-2,CAMP_DIW_01,P04,290,25% OFF,287,220,-67,-23.34,83230,217.5,47850.0,-35380.0,Unsuccessful
620715,STMYS-3,CAMP_SAN_01,P03,200,BOGOF,340,1485,1145,336.76,68000,100.0,148500.0,80500.0,Successful
7e9777,STVJD-1,CAMP_DIW_01,P08,1190,BOGOF,24,82,58,241.67,28560,595.0,48790.0,20230.0,Successful
761785,STBLR-4,CAMP_SAN_01,P14,1020,BOGOF,121,474,353,291.74,123420,510.0,241740.0,118320.0,Successful
eb3bea,STVSK-2,CAMP_SAN_01,P15,3000,500 Cashback,109,238,129,118.35,327000,2500.0,595000.0,268000.0,Successful
276150,STCBE-3,CAMP_SAN_01,P07,300,BOGOF,33,128,95,287.88,9900,150.0,19200.0,9300.0,Successful
3beb46,STMYS-2,CAMP_SAN_01,P13,350,BOGOF,81,208,127,156.79,28350,175.0,36400.0,8050.0,Successful
47af00,STVJD-1,CAMP_DIW_01,P03,156,25% OFF,183,150,-33,-18.03,28548,117.0,17550.0,-10998.0,Unsuccessful
627200,STCBE-4,CAMP_DIW_01,P14,1020,BOGOF,36,111,75,208.33,36720,510.0,56610.0,19890.0,Successful
bc8315,STHYD-1,CAMP_DIW_01,P12,62,50% OFF,122,135,13,10.66,7564,31.0,4185.0,-3379.0,Unsuccessful
1f083a,STVJD-0,CAMP_SAN_01,P06,415,25% OFF,16,14,-2,-12.5,6640,311.25,4357.5,-2282.5,Unsuccessful
c1e0b6,STCHE-6,CAMP_SAN_01,P01,172,33% OFF,273,379,106,38.83,46956,115.24000000000001,43675.96000000001,-3280.0399999999936,Unsuccessful
f60d93,STCBE-0,CAMP_DIW_01,P05,55,25% OFF,78,75,-3,-3.85,4290,41.25,3093.75,-1196.25,Unsuccessful
a10402,STVSK-2,CAMP_SAN_01,P02,860,33% OFF,295,436,141,47.8,253700,576.2,251223.2,-2476.7999999999884,Unsuccessful
741bef,STMYS-0,CAMP_SAN_01,P13,350,BOGOF,114,287,173,151.75,39900,175.0,50225.0,10325.0,Successful
105788,STCHE-0,CAMP_SAN_01,P07,300,BOGOF,58,232,174,300.0,17400,150.0,34800.0,17400.0,Successful
a85a9a,STHYD-2,CAMP_SAN_01,P10,50,25% OFF,42,31,-11,-26.19,2100,37.5,1162.5,-937.5,Unsuccessful
4.47E+06,STVJD-0,CAMP_SAN_01,P04,370,BOGOF,253,1017,764,301.98,93610,185.0,188145.0,94535.0,Successful
830e9a,STCHE-1,CAMP_DIW_01,P01,172,33% OFF,325,396,71,21.85,55900,115.24000000000001,45635.04,-10264.96,Unsuccessful
29524a,STBLR-9,CAMP_SAN_01,P10,50,25% OFF,40,36,-4,-10.0,2000,37.5,1350.0,-650.0,Unsuccessful
3ce076,STMLR-1,CAMP_DIW_01,P11,190,50% OFF,38,50,12,31.58,7220,95.0,4750.0,-2470.0,Unsuccessful
32fa85,STCHE-3,CAMP_DIW_01,P05,55,25% OFF,106,92,-14,-13.21,5830,41.25,3795.0,-2035.0,Unsuccessful
42f304,STCBE-3,CAMP_DIW_01,P06,415,25% OFF,66,57,-9,-13.64,27390,311.25,17741.25,-9648.75,Unsuccessful
a929ed,STHYD-5,CAMP_DIW_01,P03,156,25% OFF,358,347,-11,-3.07,55848,117.0,40599.0,-15249.0,Unsuccessful
6dae49,STBLR-1,CAMP_DIW_01,P05,55,25% OFF,117,114,-3,-2.56,6435,41.25,4702.5,-1732.5,Unsuccessful
3b54c7,STHYD-3,CAMP_DIW_01,P04,290,25% OFF,367,297,-70,-19.07,106430,217.5,64597.5,-41832.5,Unsuccessful
7d6e2a,STMLR-0,CAMP_DIW_01,P03,156,25% OFF,166,146,-20,-12.05,25896,117.0,17082.0,-8814.0,Unsuccessful
c8ce63,STMDU-0,CAMP_DIW_01,P15,3000,500 Cashback,369,1221,852,230.89,1107000,2500.0,3052500.0,1945500.0,Successful
bd1314,STMYS-2,CAMP_SAN_01,P05,55,25% OFF,37,30,-7,-18.92,2035,41.25,1237.5,-797.5,Unsuccessful
7634c0,STMLR-0,CAMP_SAN_01,P10,50,25% OFF,15,12,-3,-20.0,750,37.5,450.0,-300.0,Unsuccessful
d304f9,STCHE-5,CAMP_DIW_01,P04,290,25% OFF,309,268,-41,-13.27,89610,217.5,58290.0,-31320.0,Unsuccessful
34ac29,STMDU-0,CAMP_DIW_01,P06,415,25% OFF,73,64,-9,-12.33,30295,311.25,19920.0,-10375.0,Unsuccessful
57a7bc,STHYD-5,CAMP_SAN_01,P14,1020,BOGOF,100,391,291,291.0,102000,510.0,199410.0,97410.0,Successful
70e65e,STCBE-0,CAMP_DIW_01,P15,3000,500 Cashback,320,937,617,192.81,960000,2500.0,2342500.0,1382500.0,Successful
cf2a34,STHYD-3,CAMP_DIW_01,P06,415,25% OFF,106,81,-25,-23.58,43990,311.25,25211.25,-18778.75,Unsuccessful
1c1cb7,STHYD-5,CAMP_SAN_01,P10,50,25% OFF,39,35,-4,-10.26,1950,37.5,1312.5,-637.5,Unsuccessful
8.25E+90,STBLR-3,CAMP_DIW_01,P05,55,25% OFF,112,88,-24,-21.43,6160,41.25,3630.0,-2530.0,Unsuccessful
ad56bd,STMLR-2,CAMP_DIW_01,P09,110,50% OFF,36,37,1,2.78,3960,55.0,2035.0,-1925.0,Unsuccessful
32efe6,STVSK-3,CAMP_SAN_01,P08,1190,BOGOF,30,81,51,170.0,35700,595.0,48195.0,12495.0,Successful
eaa64b,STBLR-3,CAMP_SAN_01,P09,90,25% OFF,58,43,-15,-25.86,5220,67.5,2902.5,-2317.5,Unsuccessful
9e82db,STMDU-1,CAMP_DIW_01,P05,55,25% OFF,92,79,-13,-14.13,5060,41.25,3258.75,-1801.25,Unsuccessful
d5b8af,STVJD-1,CAMP_SAN_01,P11,190,50% OFF,25,35,10,40.0,4750,95.0,3325.0,-1425.0,Unsuccessful
6d24bc,STMDU-2,CAMP_DIW_01,P03,156,25% OFF,206,179,-27,-13.11,32136,117.0,20943.0,-11193.0,Unsuccessful
107747,STHYD-1,CAMP_SAN_01,P02,860,33% OFF,488,580,92,18.85,419680,576.2,334196.0,-85484.0,Unsuccessful
04da18,STVSK-4,CAMP_SAN_01,P03,200,BOGOF,223,604,381,170.85,44600,100.0,60400.0,15800.0,Successful
3a3e96,STBLR-6,CAMP_DIW_01,P07,300,BOGOF,68,263,195,286.76,20400,150.0,39450.0,19050.0,Successful
8f1624,STVJD-0,CAMP_DIW_01,P10,65,50% OFF,57,75,18,31.58,3705,32.5,2437.5,-1267.5,Unsuccessful
b8269b,STBLR-1,CAMP_DIW_01,P13,350,BOGOF,77,232,155,201.3,26950,175.0,40600.0,13650.0,Successful
c6ca4d,STHYD-2,CAMP_SAN_01,P02,860,33% OFF,465,646,181,38.92,399900,576.2,372225.2,-27674.79999999999,Unsuccessful
987463,STBLR-0,CAMP_SAN_01,P07,300,BOGOF,45,185,140,311.11,13500,150.0,27750.0,14250.0,Successful
0b51fe,STHYD-3,CAMP_SAN_01,P10,50,25% OFF,39,29,-10,-25.64,1950,37.5,1087.5,-862.5,Unsuccessful
d1ceaf,STBLR-5,CAMP_SAN_01,P10,50,25% OFF,36,29,-7,-19.44,1800,37.5,1087.5,-712.5,Unsuccessful
d834f0,STMYS-3,CAMP_SAN_01,P08,1190,BOGOF,34,147,113,332.35,40460,595.0,87465.0,47005.0,Successful
1ed982,STCHE-6,CAMP_DIW_01,P13,350,BOGOF,75,252,177,236.0,26250,175.0,44100.0,17850.0,Successful
e9c690,STMDU-3,CAMP_SAN_01,P09,90,25% OFF,45,38,-7,-15.56,4050,67.5,2565.0,-1485.0,Unsuccessful
268ca2,STVJD-0,CAMP_SAN_01,P15,3000,500 Cashback,63,151,88,139.68,189000,2500.0,377500.0,188500.0,Successful
a1624e,STHYD-1,CAMP_DIW_01,P02,860,33% OFF,351,449,98,27.92,301860,576.2,258713.80000000002,-43146.19999999998,Unsuccessful
31b59d,STVSK-3,CAMP_SAN_01,P10,50,25% OFF,27,21,-6,-22.22,1350,37.5,787.5,-562.5,Unsuccessful
82454e,STMLR-1,CAMP_DIW_01,P05,55,25% OFF,54,48,-6,-11.11,2970,41.25,1980.0,-990.0,Unsuccessful
1548f8,STVSK-4,CAMP_SAN_01,P15,3000,500 Cashback,100,175,75,75.0,300000,2500.0,437500.0,137500.0,Successful
84a2f4,STCHE-7,CAMP_SAN_01,P04,370,BOGOF,423,1801,1378,325.77,156510,185.0,333185.0,176675.0,Successful
9e59d5,STVSK-1,CAMP_DIW_01,P05,55,25% OFF,64,49,-15,-23.44,3520,41.25,2021.25,-1498.75,Unsuccessful
873333,STMLR-0,CAMP_DIW_01,P15,3000,500 Cashback,196,509,313,159.69,588000,2500.0,1272500.0,684500.0,Successful
8b751b,STMLR-0,CAMP_SAN_01,P05,55,25% OFF,15,12,-3,-20.0,825,41.25,495.0,-330.0,Unsuccessful
f856b9,STMLR-2,CAMP_SAN_01,P15,3000,500 Cashback,66,147,81,122.73,198000,2500.0,367500.0,169500.0,Successful
dcaa89,STHYD-6,CAMP_SAN_01,P13,350,BOGOF,100,403,303,303.0,35000,175.0,70525.0,35525.0,Successful
677e2c,STHYD-1,CAMP_SAN_01,P13,350,BOGOF,122,326,204,167.21,42700,175.0,57050.0,14350.0,Successful
b00eeb,STCHE-0,CAMP_SAN_01,P08,1190,BOGOF,51,196,145,284.31,60690,595.0,116620.0,55930.0,Successful
8ff468,STVJD-0,CAMP_SAN_01,P03,200,BOGOF,193,773,580,300.52,38600,100.0,77300.0,38700.0,Successful
72f6b4,STTRV-0,CAMP_SAN_01,P02,860,33% OFF,241,344,103,42.74,207260,576.2,198212.80000000002,-9047.199999999983,Unsuccessful
300664,STHYD-5,CAMP_DIW_01,P13,350,BOGOF,80,276,196,245.0,28000,175.0,48300.0,20300.0,Successful
7ecbbb,STHYD-1,CAMP_DIW_01,P06,415,25% OFF,103,88,-15,-14.56,42745,311.25,27390.0,-15355.0,Unsuccessful
2dc515,STMYS-3,CAMP_SAN_01,P01,172,33% OFF,232,294,62,26.72,39904,115.24000000000001,33880.560000000005,-6023.439999999995,Unsuccessful
a4fb0b,STMDU-0,CAMP_SAN_01,P02,860,33% OFF,318,448,130,40.88,273480,576.2,258137.60000000003,-15342.399999999965,Unsuccessful
f2d198,STTRV-1,CAMP_DIW_01,P03,156,25% OFF,166,157,-9,-5.42,25896,117.0,18369.0,-7527.0,Unsuccessful
df5c15,STBLR-5,CAMP_DIW_01,P06,415,25% OFF,101,90,-11,-10.89,41915,311.25,28012.5,-13902.5,Unsuccessful
4e6a19,STHYD-3,CAMP_SAN_01,P07,300,BOGOF,45,121,76,168.89,13500,150.0,18150.0,4650.0,Successful
6436da,STMDU-1,CAMP_SAN_01,P08,1190,BOGOF,30,118,88,293.33,35700,595.0,70210.0,34510.0,Successful
852b4f,STHYD-5,CAMP_SAN_01,P12,62,50% OFF,49,70,21,42.86,3038,31.0,2170.0,-868.0,Unsuccessful
26322a,STMLR-0,CAMP_DIW_01,P10,65,50% OFF,52,71,19,36.54,3380,32.5,2307.5,-1072.5,Unsuccessful
57576d,STBLR-5,CAMP_SAN_01,P08,1190,BOGOF,49,194,145,295.92,58310,595.0,115430.0,57120.0,Successful
af646e,STHYD-4,CAMP_SAN_01,P11,190,50% OFF,54,78,24,44.44,10260,95.0,7410.0,-2850.0,Unsuccessful
ccbc3a,STTRV-0,CAMP_DIW_01,P06,415,25% OFF,52,49,-3,-5.77,21580,311.25,15251.25,-6328.75,Unsuccessful
572031,STBLR-6,CAMP_SAN_01,P03,200,BOGOF,423,1734,1311,309.93,84600,100.0,173400.0,88800.0,Successful
5a21a5,STBLR-4,CAMP_SAN_01,P10,50,25% OFF,31,26,-5,-16.13,1550,37.5,975.0,-575.0,Unsuccessful
c6bf42,STCBE-3,CAMP_DIW_01,P07,300,BOGOF,52,173,121,232.69,15600,150.0,25950.0,10350.0,Successful
f5ff07,STCHE-6,CAMP_DIW_01,P11,190,50% OFF,80,100,20,25.0,15200,95.0,9500.0,-5700.0,Unsuccessful
2c8137,STVSK-3,CAMP_SAN_01,P07,300,BOGOF,31,77,46,148.39,9300,150.0,11550.0,2250.0,Successful
4e3a3d,STVJD-0,CAMP_DIW_01,P02,860,33% OFF,197,285,88,44.67,169420,576.2,164217.0,-5203.0,Unsuccessful
582098,STMYS-1,CAMP_SAN_01,P14,1020,BOGOF,109,453,344,315.6,111180,510.0,231030.0,119850.0,Successful
9387d1,STHYD-6,CAMP_DIW_01,P02,860,33% OFF,329,470,141,42.86,282940,576.2,270814.0,-12126.0,Unsuccessful
6c9451,STVSK-0,CAMP_DIW_01,P03,156,25% OFF,259,225,-34,-13.13,40404,117.0,26325.0,-14079.0,Unsuccessful
9c74f7,STBLR-9,CAMP_DIW_01,P09,110,50% OFF,71,90,19,26.76,7810,55.0,4950.0,-2860.0,Unsuccessful
c3bbcc,STBLR-2,CAMP_SAN_01,P07,300,BOGOF,31,122,91,293.55,9300,150.0,18300.0,9000.0,Successful
00a25a,STCHE-3,CAMP_SAN_01,P12,62,50% OFF,64,89,25,39.06,3968,31.0,2759.0,-1209.0,Unsuccessful
7b0f7d,STVJD-1,CAMP_DIW_01,P01,172,33% OFF,180,255,75,41.67,30960,115.24000000000001,29386.2,-1573.7999999999993,Unsuccessful
b484bd,STTRV-1,CAMP_DIW_01,P06,415,25% OFF,36,34,-2,-5.56,14940,311.25,10582.5,-4357.5,Unsuccessful
3aaafb,STMDU-2,CAMP_DIW_01,P06,415,25% OFF,50,43,-7,-14.0,20750,311.25,13383.75,-7366.25,Unsuccessful
20d916,STCBE-1,CAMP_DIW_01,P07,300,BOGOF,57,188,131,229.82,17100,150.0,28200.0,11100.0,Successful
eccfbe,STCHE-1,CAMP_DIW_01,P02,860,33% OFF,364,451,87,23.9,313040,576.2,259866.2,-53173.79999999999,Unsuccessful
71a7a0,STCHE-6,CAMP_DIW_01,P14,1020,BOGOF,59,195,136,230.51,60180,510.0,99450.0,39270.0,Successful
fd2628,STBLR-8,CAMP_DIW_01,P15,3000,500 Cashback,437,1306,869,198.86,1311000,2500.0,3265000.0,1954000.0,Successful
7b187a,STVSK-1,CAMP_SAN_01,P14,1020,BOGOF,82,322,240,292.68,83640,510.0,164220.0,80580.0,Successful
345b49,STMDU-2,CAMP_SAN_01,P14,1020,BOGOF,76,300,224,294.74,77520,510.0,153000.0,75480.0,Successful
1c4a78,STMLR-2,CAMP_SAN_01,P12,62,50% OFF,27,31,4,14.81,1674,31.0,961.0,-713.0,Unsuccessful
70c312,STHYD-4,CAMP_SAN_01,P13,350,BOGOF,135,534,399,295.56,47250,175.0,93450.0,46200.0,Successful
1ee94b,STHYD-0,CAMP_DIW_01,P13,350,BOGOF,68,235,167,245.59,23800,175.0,41125.0,17325.0,Successful
c381ea,STMLR-1,CAMP_SAN_01,P08,1190,BOGOF,27,106,79,292.59,32130,595.0,63070.0,30940.0,Successful
8724c8,STCBE-4,CAMP_SAN_01,P04,370,BOGOF,363,990,627,172.73,134310,185.0,183150.0,48840.0,Successful
8f3699,STVSK-3,CAMP_DIW_01,P03,156,25% OFF,196,174,-22,-11.22,30576,117.0,20358.0,-10218.0,Unsuccessful
bfb2b4,STBLR-7,CAMP_SAN_01,P13,350,BOGOF,133,559,426,320.3,46550,175.0,97825.0,51275.0,Successful
19e2f0,STCHE-7,CAMP_SAN_01,P11,190,50% OFF,58,81,23,39.66,11020,95.0,7695.0,-3325.0,Unsuccessful
a0d919,STMDU-1,CAMP_DIW_01,P08,1190,BOGOF,35,122,87,248.57,41650,595.0,72590.0,30940.0,Successful
98c85b,STMLR-2,CAMP_DIW_01,P13,350,BOGOF,38,133,95,250.0,13300,175.0,23275.0,9975.0,Successful
d60641,STHYD-0,CAMP_DIW_01,P03,156,25% OFF,351,305,-46,-13.11,54756,117.0,35685.0,-19071.0,Unsuccessful
a340fc,STBLR-4,CAMP_DIW_01,P05,55,25% OFF,136,121,-15,-11.03,7480,41.25,4991.25,-2488.75,Unsuccessful
4dca21,STVSK-1,CAMP_SAN_01,P04,370,BOGOF,252,985,733,290.87,93240,185.0,182225.0,88985.0,Successful
ff18f2,STVSK-3,CAMP_DIW_01,P15,3000,500 Cashback,260,681,421,161.92,780000,2500.0,1702500.0,922500.0,Successful
b79fd9,STVJD-1,CAMP_DIW_01,P04,290,25% OFF,150,123,-27,-18.0,43500,217.5,26752.5,-16747.5,Unsuccessful
c23e33,STHYD-6,CAMP_SAN_01,P11,190,50% OFF,49,69,20,40.82,9310,95.0,6555.0,-2755.0,Unsuccessful
cf734f,STHYD-4,CAMP_SAN_01,P08,1190,BOGOF,51,203,152,298.04,60690,595.0,120785.0,60095.0,Successful
0951b6,STMYS-1,CAMP_DIW_01,P09,110,50% OFF,103,159,56,54.37,11330,55.0,8745.0,-2585.0,Unsuccessful
413f48,STVSK-0,CAMP_SAN_01,P14,1020,BOGOF,61,234,173,283.61,62220,510.0,119340.0,57120.0,Successful
de1ced,STCHE-3,CAMP_DIW_01,P03,156,25% OFF,330,290,-40,-12.12,51480,117.0,33930.0,-17550.0,Unsuccessful
291ddf,STCBE-1,CAMP_SAN_01,P03,200,BOGOF,267,1054,787,294.76,53400,100.0,105400.0,52000.0,Successful
aa1bbd,STCBE-0,CAMP_SAN_01,P10,50,25% OFF,25,22,-3,-12.0,1250,37.5,825.0,-425.0,Unsuccessful
53a947,STBLR-1,CAMP_SAN_01,P06,415,25% OFF,39,36,-3,-7.69,16185,311.25,11205.0,-4980.0,Unsuccessful
b8f698,STMDU-3,CAMP_DIW_01,P10,65,50% OFF,68,76,8,11.76,4420,32.5,2470.0,-1950.0,Unsuccessful
13ad42,STMDU-0,CAMP_DIW_01,P03,156,25% OFF,241,209,-32,-13.28,37596,117.0,24453.0,-13143.0,Unsuccessful
93e61f,STBLR-4,CAMP_DIW_01,P10,65,50% OFF,92,120,28,30.43,5980,32.5,3900.0,-2080.0,Unsuccessful
3070a3,STVSK-3,CAMP_DIW_01,P10,65,50% OFF,68,76,8,11.76,4420,32.5,2470.0,-1950.0,Unsuccessful
cf0a2a,STHYD-3,CAMP_DIW_01,P09,110,50% OFF,92,147,55,59.78,10120,55.0,8085.0,-2035.0,Unsuccessful
ae5745,STCBE-4,CAMP_DIW_01,P06,415,25% OFF,68,61,-7,-10.29,28220,311.25,18986.25,-9233.75,Unsuccessful
695cd9,STTRV-1,CAMP_SAN_01,P07,300,BOGOF,21,82,61,290.48,6300,150.0,12300.0,6000.0,Successful
b76614,STMLR-0,CAMP_SAN_01,P12,62,50% OFF,33,47,14,42.42,2046,31.0,1457.0,-589.0,Unsuccessful
d42636,STBLR-6,CAMP_SAN_01,P05,55,25% OFF,25,20,-5,-20.0,1375,41.25,825.0,-550.0,Unsuccessful
d9d3f4,STMYS-1,CAMP_DIW_01,P10,65,50% OFF,103,158,55,53.4,6695,32.5,5135.0,-1560.0,Unsuccessful
8cbaa3,STHYD-2,CAMP_SAN_01,P08,1190,BOGOF,60,238,178,296.67,71400,595.0,141610.0,70210.0,Successful
aaea9e,STTRV-0,CAMP_DIW_01,P10,65,50% OFF,68,93,25,36.76,4420,32.5,3022.5,-1397.5,Unsuccessful
34a266,STMLR-0,CAMP_DIW_01,P08,1190,BOGOF,24,70,46,191.67,28560,595.0,41650.0,13090.0,Successful
b017e0,STMDU-3,CAMP_DIW_01,P02,860,33% OFF,276,345,69,25.0,237360,576.2,198789.00000000003,-38570.99999999997,Unsuccessful
7014a8,STBLR-8,CAMP_SAN_01,P14,1020,BOGOF,97,385,288,296.91,98940,510.0,196350.0,97410.0,Successful
9e2de4,STMLR-0,CAMP_SAN_01,P07,300,BOGOF,21,54,33,157.14,6300,150.0,8100.0,1800.0,Successful
ec29f9,STTRV-1,CAMP_SAN_01,P06,415,25% OFF,21,19,-2,-9.52,8715,311.25,5913.75,-2801.25,Unsuccessful
5c50b6,STHYD-6,CAMP_SAN_01,P09,90,25% OFF,55,45,-10,-18.18,4950,67.5,3037.5,-1912.5,Unsuccessful
e2a523,STHYD-5,CAMP_DIW_01,P07,300,BOGOF,59,195,136,230.51,17700,150.0,29250.0,11550.0,Successful
166a02,STCHE-6,CAMP_SAN_01,P13,350,BOGOF,111,445,334,300.9,38850,175.0,77875.0,39025.0,Successful
61b929,STVSK-2,CAMP_DIW_01,P14,1020,BOGOF,33,109,76,230.3,33660,510.0,55590.0,21930.0,Successful
908a96,STHYD-4,CAMP_SAN_01,P12,62,50% OFF,52,72,20,38.46,3224,31.0,2232.0,-992.0,Unsuccessful
d0f417,STCBE-4,CAMP_DIW_01,P12,62,50% OFF,89,112,23,25.84,5518,31.0,3472.0,-2046.0,Unsuccessful
c4b10c,STCHE-5,CAMP_DIW_01,P06,415,25% OFF,87,77,-10,-11.49,36105,311.25,23966.25,-12138.75,Unsuccessful
e39703,STBLR-9,CAMP_DIW_01,P08,1190,BOGOF,47,163,116,246.81,55930,595.0,96985.0,41055.0,Successful
1.11E+11,STMYS-3,CAMP_SAN_01,P11,190,50% OFF,43,48,5,11.63,8170,95.0,4560.0,-3610.0,Unsuccessful
029ff8,STMLR-0,CAMP_SAN_01,P01,172,33% OFF,169,236,67,39.64,29068,115.24000000000001,27196.640000000003,-1871.359999999997,Unsuccessful
daff65,STMLR-0,CAMP_DIW_01,P11,190,50% OFF,35,45,10,28.57,6650,95.0,4275.0,-2375.0,Unsuccessful
108a63,STHYD-3,CAMP_SAN_01,P05,55,25% OFF,30,22,-8,-26.67,1650,41.25,907.5,-742.5,Unsuccessful
e7d681,STCHE-5,CAMP_DIW_01,P13,350,BOGOF,66,226,160,242.42,23100,175.0,39550.0,16450.0,Successful
02fa4b,STVSK-4,CAMP_DIW_01,P01,172,33% OFF,155,218,63,40.65,26660,115.24000000000001,25122.320000000003,-1537.6799999999967,Unsuccessful
2b0a40,STHYD-2,CAMP_DIW_01,P13,350,BOGOF,82,273,191,232.93,28700,175.0,47775.0,19075.0,Successful
406a98,STBLR-5,CAMP_SAN_01,P01,172,33% OFF,264,361,97,36.74,45408,115.24000000000001,41601.64000000001,-3806.3599999999933,Unsuccessful
